"filename", "language", "JSON", "HTML", "Markdown", "JavaScript", "XML", "JavaScript JSX", "YAML", "comment", "blank", "total"
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/features/check-in-out/useTodayActivity.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/features/dashboard/DashboardBox.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 2, 16
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/features/dashboard/DashboardFilter.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/features/dashboard/DashboardLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 6, 36
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/features/dashboard/DurationChart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 176, 0, 1, 10, 187
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/features/dashboard/SalesChart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 97, 0, 0, 8, 105
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/features/dashboard/Stat.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 54, 0, 0, 6, 60
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/features/dashboard/Stats.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 38, 0, 0, 10, 48
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/features/dashboard/TodayItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 62, 0, 0, 8, 70
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/features/dashboard/useRecentBookings.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/features/dashboard/useRecentStays.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 6, 21
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/features/settings/UpdateSettingsForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 65, 0, 0, 10, 75
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/features/settings/useSettings.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/features/settings/useUpdateSetting.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 4, 19
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/hooks/useLocalStorageState.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/hooks/useMoveBack.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/hooks/useOutsideClick.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 1, 16
